2025-09-17 12:36:48 | 65a0bb82-c870-46d0-854b-eba773c7d8f7 | Round_1 | c | b | Maintenance | Preparation
2025-09-22 14:52:10 | 30c38259-8765-47dc-8e6b-61ea0bd0f748 | Round_1 | a | a | Preparation | Precontemplation
2025-09-22 15:27:57 | 30c38259-8765-47dc-8e6b-61ea0bd0f748 | Round_1 | b | b | Precontemplation | Contemplation
2025-09-26 14:11:39 | 30c38259-8765-47dc-8e6b-61ea0bd0f748 | Round_1 | d | b | Contemplation | Action
2025-09-28 18:47:46 | 30c38259-8765-47dc-8e6b-61ea0bd0f748 | Round_1 | e | c | Action | Maintenance
2025-10-22 12:27:52 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_1 | b | a | Contemplation | Contemplation
2025-10-22 21:28:26 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_2 | b | a | Contemplation | Contemplation
2025-10-22 21:50:11 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_3 | a | a | Contemplation | Precontemplation
2025-10-22 22:20:58 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_4 | d | b | Precontemplation | Action
2025-10-23 15:26:05 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_5 | e | a | Action | Maintenance
2025-10-24 19:32:02 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_6 | d | a | Maintenance | Action
2025-10-26 13:38:52 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_7 | a | a | Action | Precontemplation
2025-10-26 14:35:02 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_8 | a | a | Precontemplation | Precontemplation
2025-10-26 14:35:46 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_9 | d | a | Precontemplation | Action
2025-10-26 14:45:45 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_10 | e | a | Action | Maintenance
2025-10-26 14:52:32 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_11 | c | a | Maintenance | Contemplation
2025-10-26 18:31:29 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_12 | c | a | Contemplation | Contemplation
2025-10-26 18:32:17 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_13 | b | a | Contemplation | Contemplation
2025-10-26 18:34:24 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_14 | b | b | Contemplation | Contemplation
2025-10-26 18:35:13 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_15 | d | b | Contemplation | Action
2025-10-26 18:42:40 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_16 | d | a | Action | Action
2025-10-26 18:46:35 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_17 | a | a | Action | Precontemplation
2025-10-26 19:14:07 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_18 | c | b | Precontemplation | Preparation
2025-10-26 20:11:41 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_19 | e | a | Preparation | Maintenance
2025-10-26 20:21:33 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_20 | d | a | Maintenance | Action
2025-10-26 20:38:01 | 2e04ec4b-5c54-4ed3-aa05-99f6a64e44cf | Round_21 | a | a | Action | Precontemplation
2025-11-02 09:02:19 | e58b0e7a-40a8-4a4d-bedf-41b8f1b1abb5 | Round_1 | e | b | Action | Maintenance
2025-11-02 09:17:32 | 5da46a0d-ce3c-4b5b-b67a-5982ea4822cb | Round_1 | c | b | Preparation | Preparation
2025-11-02 10:56:49 | e836d7ff-ab1f-4b47-976b-d64968c6cc16 | Round_1 | d | a | Action | Action
2025-11-02 12:56:28 | a788d4bc-d0ec-4f98-9201-b9c7a3c71216 | Round_1 | d | a | Action | Action
2025-11-03 09:49:03 | e883aa4d-7ec6-4423-ba3b-00667fe9413a | Round_1 | c | b | Preparation | Preparation
2025-11-04 09:34:48 | 325b972e-289d-40df-9c14-72f9d4c7e78f | Round_1 | c | a | Action | Contemplation
2025-11-04 12:51:35 | 4b59b048-b8f3-4b34-acbf-6d2a68353772 | Round_1 | d | b | Action | Action
2025-11-05 09:03:31 | d861ca14-b392-4e91-a51c-c08ea95aa406 | Round_1 | c | b | Preparation | Preparation
2025-11-05 09:14:51 | 1c1fbdc8-a7e2-478c-acc1-7b90f7f989cf | Round_1 | c | b | Preparation | Preparation
2025-11-05 09:20:26 | 12a34e46-74b9-427d-88b5-103b3d94693a | Round_1 | c | a | Action | Contemplation
2025-11-09 09:04:50 | 9f43f316-5167-4a57-bd7a-252d668b4465 | Round_1 | c | a | Preparation | Contemplation
2025-11-10 09:59:19 | cf46437b-1ddb-4bfb-9d8a-dd60465b7418 | Round_1 | d | a | Maintenance | Action
2025-11-10 10:33:44 | 69786daf-2a8a-4050-8916-003077ad7dc9 | Round_1 | d | b | Action | Action
2025-11-14 23:44:38 | 9c04aca7-2331-4b9f-9074-1e6dbca8b690 | Round_1 | d | a | Action | Action
2025-11-16 10:53:47 | 09b98137-3420-4243-a5bd-5f5718e99694 | Round_1 | a | a | Action | Precontemplation
2026-01-04 18:34:44 | @admin:demokratiebot.de | Round_1 | b | a | Contemplation | Contemplation
